name,geometry/lat,geometry/lng,place_id,types/0,types/1,types/2,types/3,types/4,user_ratings_total,vicinity,accident_loc,types_str,types/5,types/6
Abu Dhabi Judicial Department,24.4170264,54.4460079,ChIJdV4wckNmXj4RzloZJ662pYI,courthouse,point_of_interest,establishment,,,40,Baniyas Najda Street - Abu Dhabi,شارع 33,courthouse_point_of_interest_establishment,,
Abu Dhabi Judicial Department ( Abu Dhabi Court of First Instance & Abu Dhabi Appeal Court ),24.4168477,54.4474898,ChIJJ27frBJCXj4RltK26LESZWI,courthouse,point_of_interest,establishment,,,181,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,courthouse_point_of_interest_establishment,,
Remand Abu Dhabi courts,24.4164832,54.4469568,ChIJsxVa7BJCXj4RSQyUP1jJYzg,courthouse,point_of_interest,establishment,,,2,W58,شارع 33,courthouse_point_of_interest_establishment,,
International Center for Dental Excellence,24.4176205,54.4408457,ChIJWZ5oa3NCXj4RlFhbr1zWenU,dentist,doctor,health,point_of_interest,establishment,1835,Centro Business Tower 7th Floor - Abu Dhabi,شارع 33,dentist_doctor_health_point_of_interest_establishment,,
LuLu Xpress - Y Tower,24.4177812,54.4422453,ChIJ_00zdapDXj4RUPsmtmFpZnA,supermarket,department_store,grocery_or_supermarket,food,point_of_interest,57,Al Zumurrud Street - Abu Dhabi,شارع 33,supermarket_department_store_grocery_or_supermarket_food_point_of_interest_store_establishment,store,establishment
International Center for Dental Excellence,24.4176205,54.4408457,ChIJWZ5oa3NCXj4RlFhbr1zWenU,dentist,doctor,health,point_of_interest,establishment,1835,Centro Business Tower 7th Floor - Abu Dhabi,شارع 33,dentist_doctor_health_point_of_interest_establishment,,
New Zealand Embassy Abu Dhabi,24.4209121,54.4409095,ChIJAS2qACJmXj4RnYr-_-9apQw,embassy,point_of_interest,establishment,,,20,"Office 2503, International Tower, Capital Centre, Abu Dhabi, Capital Centre",شارع 33,embassy_point_of_interest_establishment,,
Embassy of Switzerland,24.4176937,54.4407278,ChIJYzJ7E3NCXj4RsnHA9FjCeBI,embassy,point_of_interest,establishment,,,38,"17th floor, Centro Rotana Hotel, Al Khaleej Al Arabi Street",شارع 33,embassy_point_of_interest_establishment,,
Somalia Embassy,24.4226866,54.4411357,ChIJYVjAY-JlXj4RSM9Pv2J_1Fc,embassy,point_of_interest,establishment,,,15,AirPort Road 33rd St - أبو ظبي,شارع 33,embassy_point_of_interest_establishment,,
Embassy of the Kingdom of the Netherlands,24.4176335,54.4408158,ChIJ5T0z9WZmXj4RyMlOYpahiYM,embassy,point_of_interest,establishment,,,14,Arabian Gulf Street - Abu Dhabi,شارع 33,embassy_point_of_interest_establishment,,
Embassy of Iraq,24.423325,54.4412247,ChIJNwsaGnFCXj4Rd_ik5yeEiSo,embassy,point_of_interest,establishment,,,37,"Embassies District, AirPort Road, 33rd Al Karamah Street",شارع 33,embassy_point_of_interest_establishment,,
Smart Design LLC,24.4187445,54.4428355,ChIJlZwNAl9mXj4Raghf0ikdUsk,furniture_store,home_goods_store,storage,general_contractor,point_of_interest,19,"Capital Centre Capital Tower, 903 - أبو ظبي",شارع 33,furniture_store_home_goods_store_storage_general_contractor_point_of_interest_store_establishment,store,establishment
Lifeline Wellness,24.4205455,54.4432088,ChIJnzAKSHJCXj4RLKLekO1jkYc,gym,health,point_of_interest,establishment,,384,"ADNEC 33، Abu Dhabi National Exhibition Centre - M-Floor, Y-Tower , 33 st , Near - Al Karamah Street - Abu Dhabi",شارع 33,gym_health_point_of_interest_establishment,,
Bodylines Fitness & Wellness Club,24.4184225,54.4405085,ChIJsaFPg3NCXj4Rl_jvW4f2Tl0,spa,gym,health,point_of_interest,establishment,10,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,spa_gym_health_point_of_interest_establishment,,
PELO LOCO GENTS SALON ABU DHABI,24.4172751,54.4424078,ChIJZfk_zxdDXj4RzaMW5tLMmt8,hair_care,point_of_interest,establishment,,,1,"Capital Centre Area , Y TOWER Lulu Express",شارع 33,hair_care_point_of_interest_establishment,,
Chelsea Man Spa By Mustafa Mens Hair Stylist,24.4197679,54.4393695,ChIJmTVwr95DXj4RhF904MZDqFI,hair_care,health,point_of_interest,establishment,,281,"Aloft Hotel Abu Dhabi, Ground Floor - أبو ظبي",شارع 33,hair_care_health_point_of_interest_establishment,,
Smart Design LLC,24.4187445,54.4428355,ChIJlZwNAl9mXj4Raghf0ikdUsk,furniture_store,home_goods_store,storage,general_contractor,point_of_interest,19,"Capital Centre Capital Tower, 903 - أبو ظبي",شارع 33,furniture_store_home_goods_store_storage_general_contractor_point_of_interest_store_establishment,store,establishment
National Health Insurance Company - Daman,24.4182273,54.442845,ChIJm-cn3XNCXj4R_UeNr2Qt7Yg,insurance_agency,health,point_of_interest,establishment,,161,"Daman House Building,Khaleej Al arabi Street,ADNEC Area, Near Capital Tower",شارع 33,insurance_agency_health_point_of_interest_establishment,,
Methaq Takaful Insurance Company,24.4199642,54.4416187,ChIJS8H3WNlDXj4R_qbQx5FcOiU,insurance_agency,point_of_interest,establishment,,,13,Abu Dhabi,شارع 33,insurance_agency_point_of_interest_establishment,,
